,hardware - num zips,hardware - metal type,price,skin type_Alligator,skin type_Calf,skin type_Canvas,skin type_Crocodile,skin type_Crystal,skin type_Embroidery,skin type_Epi,skin type_Lamb,skin type_Leather,skin type_Lizard,skin type_Others,skin type_Python,skin type_Snake
86,1.9471312880090026,2,3650,0,1,0,0,0,0,0,0,0,0,0,0,0
127,-0.967118189408445,5,10000,0,0,0,0,0,1,0,0,0,0,0,0,0
71,0.4900065493002787,2,4850,0,1,0,0,0,0,0,0,0,0,0,0,0
33,-0.967118189408445,6,7950,0,1,0,0,0,0,0,0,0,0,0,0,0
83,-0.967118189408445,2,5400,0,1,0,0,0,0,0,0,0,0,0,0,0
55,0.4900065493002787,4,6850,0,0,0,0,1,0,0,0,0,0,1,0,0
79,0.4900065493002787,5,3950,0,0,0,0,0,0,0,0,0,0,0,1,0
107,1.9471312880090026,1,3600,0,1,0,0,0,0,0,0,0,0,0,0,0
139,0.4900065493002787,4,8200,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1.9471312880090026,6,7800,0,1,0,0,0,0,0,0,0,0,0,0,0
46,-0.967118189408445,0,4675,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0.4900065493002787,5,4800,0,0,0,0,0,0,0,0,1,0,0,0,0
40,-0.967118189408445,6,5350,0,1,0,0,0,0,0,0,0,0,0,0,0
111,0.4900065493002787,2,4100,0,1,0,0,0,0,0,0,0,0,0,0,0
91,1.9471312880090026,5,3500,0,1,0,0,0,0,0,0,0,0,0,0,0
60,0.4900065493002787,5,3650,0,0,0,0,0,1,0,0,0,0,1,0,0
48,0.4900065493002787,6,4525,0,1,0,0,0,0,0,0,0,0,0,0,0
22,-0.967118189408445,2,3700,0,0,0,0,0,0,0,0,0,0,0,1,0
121,1.9471312880090026,5,5800,0,1,0,0,0,0,0,0,0,0,0,1,0
103,-0.967118189408445,1,4150,0,1,0,0,0,0,0,0,0,0,0,0,0
52,1.9471312880090026,5,13300,1,0,0,0,0,0,0,0,0,0,0,0,0
138,0.4900065493002787,5,3900,0,1,0,0,0,0,0,0,0,0,1,0,0
134,-0.967118189408445,5,7900,0,1,0,0,0,0,0,0,0,0,0,0,0
38,0.4900065493002787,6,6350,0,1,0,0,0,0,0,0,0,0,0,0,0
43,-0.967118189408445,6,5150,0,1,0,0,0,0,0,0,0,0,0,0,0
19,0.4900065493002787,0,3800,0,0,1,0,0,1,0,0,0,0,0,0,0
24,0.4900065493002787,2,3690,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0.4900065493002787,2,4400,0,0,1,0,0,0,0,0,0,0,0,0,0
140,0.4900065493002787,5,10300,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0.4900065493002787,0,3980,0,0,1,0,0,1,0,0,0,0,0,0,0
95,-0.967118189408445,3,4550,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1.9471312880090026,5,5500,0,0,0,0,0,0,0,0,0,0,0,0,1
128,-0.967118189408445,5,5100,0,0,0,0,0,0,0,0,0,0,0,1,0
87,-0.967118189408445,0,3650,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0.4900065493002787,2,3980,0,0,0,0,0,0,0,0,0,0,1,0,0
102,-0.967118189408445,1,3950,0,1,0,0,0,0,0,0,0,0,0,0,0
105,-0.967118189408445,3,7000,0,0,0,0,0,0,0,0,0,1,0,0,0
58,0.4900065493002787,6,4990,0,0,0,0,0,1,0,0,0,0,1,0,0
15,0.4900065493002787,2,3980,0,0,0,0,0,0,0,0,1,0,0,0,0
88,0.4900065493002787,0,4150,0,1,0,0,0,0,0,0,0,0,0,0,0
