,brand,accessories,bag style,skin type,hardware - metal type,hardware - num zips,hardware - strap type,strap length,num compartments,num components,major color,num colors,volume,num functionality,inner material,price
51,Tom Ford,Clasp,Clutch,Alligator,Gold,1,None,0.0,3,6,Black,1,165.9045941,1,Calf,17000
52,Tom Ford,Chain,Shoulder Bag,Alligator,Gold,2,Metal,25.0,3,7,Red,1,107.89150377600001,2,Others,13300
53,Tom Ford,Lock,Shoulder Bag,"Crystal, Others",Ruthenium,0,"Metal,Leather",58.0,1,5,Multicolor,10,117.43292928000001,1,Satin,11500
54,Tom Ford,"Chain, Turnlock",Shoulder Bag,Crystal,Palladium,0,"Metal,Leather",51.0,1,7,Purple,2,92.90657269600001,1,Calf,8950
55,Tom Ford,"Chain, Turnlock",Shoulder Bag,"Crystal, Others",Ruthenium,1,"Metal,Leather",55.0,2,6,Black,3,68.62486804800001,1,Satin,6850
56,Tom Ford,"Chain, Turnlock",Shoulder Bag,"Embroidery, Crystal",Palladium,1,"Metal,Leather",55.0,2,5,Multicolor,10,68.62486804800001,1,Satin,5290
57,Tom Ford,"Chain, Turnlock",Shoulder Bag,"Embroidery, Others",Ruthenium,1,"Metal,Leather",55.0,2,5,Black,2,117.43292928000001,1,Calf,4990
58,Tom Ford,"Chain, Turnlock",Shoulder Bag,"Embroidery, Others",Palladium,1,"Metal,Leather",58.0,2,7,Red,4,117.43292928000001,1,Satin,4990
59,Tom Ford,"Chain, Turnlock",Shoulder Bag,"Embroidery, Crystal",Ruthenium,1,"Metal,Leather",55.0,2,7,Black,3,68.62486804800001,1,Satin,4550
60,Tom Ford,"Chain, Turnlock",Shoulder Bag,"Embroidery, Others",Gold,1,Metal,50.0,2,3,Gold,2,36.95467493280001,2,Calf,3650
61,Tom Ford,"Chain, Turnlock",Shoulder Bag,"Embroidery, Crystal, Others",Ruthenium,1,"Metal,Leather",55.0,2,4,Green,3,68.62486804800001,1,Satin,4390
62,Tom Ford,Logo,Shoulder Bag,Calf,Gold,1,Leather,55.0,3,4,Black,2,123.304575744,2,Seude,4190
63,Tom Ford,"Chain, Turnlock",Shoulder Bag,Python,Ruthenium,1,"Metal,Leather",55.0,2,5,Brown,2,132.11204544,1,Sheep,3990
64,Tom Ford,"Chain, Turnlock",Shoulder Bag,Python,Ruthenium,1,"Metal,Leather",55.0,2,4,Gold,2,132.11204544,1,Sheep,3790
65,Tom Ford,Strap,Tote,Leather,Gold,2,"Metal,Leather",20.0,4,6,White,3,855.3031682560003,2,Microfiber,3690
66,Tom Ford,Logo,Shoulder Bag,Leather,Gold,2,"Metal,Leather",55.0,3,5,Black,2,132.11204544,1,Calf,3590
67,Louis Vitton,Other,Shoulder Bag,Calf,Silver,0,Leather,50.0,2,10,Yellow,1,346.86,2,Calf,4400
68,Louis Vitton,Pieces,Tote,Calf,Silver,2,Leather,30.0,2,6,Black,1,339.2,2,Microfiber,4200
69,Louis Vitton,Pieces,Shoulder Bag,Lamb,Silver,0,"Metal,Leather",30.0,1,3,Red,1,283.05,1,Sheep,3600
70,Louis Vitton,Pieces,Shoulder Bag,Epi,Silver,0,"Metal,Leather",50.0,2,7,Pink,2,200.291,1,Microfiber,4400
71,Louis Vitton,Pieces,Shoulder Bag,Calf,Silver,1,Leather,30.0,3,7,Blue,2,720.0,2,Calf,4850
72,Louis Vitton,Strap,Shoulder Bag,Canvas,None,1,Leather,30.0,3,5,Blue,2,1953.846,2,Calf,4000
73,Louis Vitton,Strap,Shoulder Bag,Canvas,None,1,Leather,10.0,3,8,Pink,2,697.97,2,Sheep,4000
74,Louis Vitton,Strap,Shoulder Bag,Calf,Silver,0,"Metal,Leather",50.0,2,6,Brown,2,195.3,1,Microfiber,4000
75,Louis Vitton,Logo,Shoulder Bag,Epi,Silver,0,"Metal,Leather",50.0,2,3,Blue,1,825.3,1,Microfiber,4100
76,Louis Vitton,Pieces,Shoulder Bag,Epi,Silver,0,"Metal,Leather",50.0,2,5,Black,1,200.291,1,Microfiber,4200
77,Louis Vitton,Pieces,Shoulder Bag,Epi,Silver,0,"Metal,Leather",50.0,2,6,Black,2,124.94999999999999,1,Microfiber,3650
78,Louis Vitton,Pieces,Tote,Epi,Silver,1,Leather,50.0,2,10,Blue,1,517.548,2,Microfiber,3550
79,Louis Vitton,Pieces,Shoulder Bag,Python,Gold,1,Metal,30.0,2,6,Brown,2,266.526,1,Microfiber,3950
80,Louis Vitton,Lock,Handle Bag,Calf,Gold,1,Leather,50.0,3,13,Brown,4,602.07,2,Calf,4550
81,Louis Vitton,Pieces,Shoulder Bag,Calf,Gold,0,Leather,30.0,1,5,Brown,1,102.424,2,Others,4200
82,Louis Vitton,Pieces,Shoulder Bag,Lamb,Gold,0,Leather,30.0,2,6,Brown,2,73.549,2,Others,5200
83,Louis Vitton,Pieces,Shoulder Bag,Calf,Silver,0,Leather,30.0,2,6,Brown,3,81.686,2,Sheep,5400
84,Louis Vitton,Pieces,Shoulder Bag,Epi,Silver,0,Leather,30.0,2,6,Gold,2,59.616,2,Microfiber,5750
